"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "XML", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 9, 42
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\App.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 8, 49
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\assets\Icons\arrow-next-small-svgrepo-com.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\assets\Icons\color-picker-dropper-colour.svg", "XML", 0, 0, 0, 9, 0, 0, 1, 1, 11
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\assets\Icons\search-svgrepo-com.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\assets\Icons\trash-icon-delete.svg", "XML", 0, 0, 0, 21, 0, 0, 1, 1, 23
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\assets\Icons\trash-icon.svg", "XML", 0, 0, 0, 21, 0, 0, 1, 1, 23
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\assets\Icons\user-circle-svgrepo-com.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\assets\Icons\x-thin.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\AdminProfile\AdminProfile.css", "CSS", 0, 0, 120, 0, 0, 0, 10, 30, 160
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\AdminProfile\AdminProfile.jsx", "JavaScript JSX", 111, 0, 0, 0, 0, 0, 4, 16, 131
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\AdminProfile\FormularioPlanitllaYCupon.css", "CSS", 0, 0, 61, 0, 0, 0, 0, 20, 81
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\AdminProfile\FormularioPlantillaYCupon.jsx", "JavaScript JSX", 89, 0, 0, 0, 0, 0, 0, 14, 103
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\Navbar\Navbar.css", "CSS", 0, 0, 136, 0, 0, 0, 0, 28, 164
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 119, 0, 0, 0, 0, 0, 8, 17, 144
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar2\Example.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 6, 48
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar2\MenuItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 1, 11, 57
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar2\MenuToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 5, 44
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar2\Navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar2\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar2\styles.css", "CSS", 0, 0, 91, 0, 0, 0, 0, 13, 104
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar2\use-dimensions.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 4, 4, 17
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar\SideBar.css", "CSS", 0, 0, 91, 0, 0, 0, 0, 18, 109
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\SideBar\SideBar.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 0, 2, 6, 47
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\StickerBodyContent\StickerBodyContent.css", "CSS", 0, 0, 100, 0, 0, 0, 7, 13, 120
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\StickerBodyContent\StickerBodyContent.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 0, 6, 10, 74
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\UserProfile\UserProfile.css", "CSS", 0, 0, 112, 0, 0, 0, 0, 32, 144
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\components\UserProfile\UserProfile.jsx", "JavaScript JSX", 87, 0, 0, 0, 0, 0, 3, 18, 108
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\context\CartContext.jsx", "JavaScript JSX", 75, 0, 0, 0, 0, 0, 8, 18, 101
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 3, 19
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\services\gestion-service.js", "JavaScript", 0, 82, 0, 0, 0, 0, 8, 23, 113
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\BodyContent.css", "CSS", 0, 0, 58, 0, 0, 0, 1, 21, 80
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CartBodyContent.css", "CSS", 0, 0, 128, 0, 0, 0, 0, 33, 161
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CartNotification.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 11, 81
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CartPage.css", "CSS", 0, 0, 33, 0, 0, 0, 1, 10, 44
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\ConfirmarPago.css", "CSS", 0, 0, 91, 0, 0, 0, 2, 12, 105
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CuponEditView.css", "CSS", 0, 0, 419, 0, 0, 0, 8, 35, 462
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\CuponesBodyContent.css", "CSS", 0, 0, 148, 0, 0, 0, 2, 43, 193
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\HistorialCompra.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 11, 59
"c:\Users\clau_\OneDrive\Escritorio\Frontend pingeso\Pingesofrontend\src\styles\HomeStyle.css", "CSS", 0, 0, 65, 0, 0, 0, 0, 23, 88
